"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-01","  100","  100",,," 0154","0.01","0.0","0.0",,"28","25",,"  300",,,"  315",,"12.1",,,"13.9","    1","    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-02","   90","  100",,," 1154","0.00","0.1","0.0",,"26","15",,"   10",,,"   45",,"14.1",,,"16.1","    1",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-03","  100","  100",,," 2306","0.00","0.4","0.0",,"22","20",,"  180",,,"  180",,"12.1",,,"15.0",,,,,,"    1",,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-04","  100","  100",,," 1412","0.01","0.8","0.0",,"27","20",,"  150",,,"  135",,"17.0",,,"21.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-05","  100","  100",,," 2318","0.00","0.3","0.0",,"26","16"," 1818","  160",,,"  135",,"17.9",,,"28.9","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-06","  100","  100",,," 2348","0.40","5.6","2.0",,"29","8",,"  170",,,"  270","0.2","44.1",,,"62.2","    1",,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-07","   60","   80",,," 0130","0.00","0.0","6.0",,"9","-1",,"  280",,,"  270","0.4","42.1",,,"62.2",,,,,,,,"    1","    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-08","   40","   30",,," 1212","0.00","0.0","5.0",,"1","-8",,"  300",,,"  270","0.4","17.0",,,"25.3",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-09","   60","   50",,," 2342","0.00","0.0","5.0",,"4","-15",,"  150",,,"  135","0.4","19.9",,,"24.2",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-10","  100","  100",,," 2124","0.00","0.0","5.0",,"42","4",,"  180",,,"  180","0.4","34.9",,,"48.3","    1",,,,,"    1",,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-11","  100","  100",,," 1536","0.04","0.9","2.0",,"43","2",,"  290",,,"  270","0.2","42.1",,,"62.2",,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-12","   80","   90",,," 1906","0.00","0.0","1.0",,"28","-3",,"  160",,,"  180",,"34.9",,,"51.7",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-13","   60","   80",,," 0300","0.00","0.0","1.0",,"43","27",,"  180",,,"  180",,"40.0",,,"57.5",,,,,,"    1",,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-14","   70","   90",,," 2342","0.00","0.0","0.0",,"37","18",,"  140",,,"  135",,"27.1",,,"36.7",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-15","  100","  100",,," 0012","0.07","0.0","0.0",,"38","34",,"  130",,,"  135",,"25.1",,,"38.0","    1","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-16","  100","  100",,," 2336","0.83","2.7","0.0",,"36","33",,"  350",,,"  360",,"23.9",,,"33.3","    1","    1",,,,,,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-17","  100","  100",,," 0206","0.02","0.3","3.0",,"33","27",,"  350",,,"  315","0.2","27.1",,,"32.2","    1",,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-18","  100","  100",,," 2248","0.00","0.0","2.0",,"28","25",,"  320",,,"  315","0.2","12.1",,,"15.0","    1","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-19","   60","   70",,," 1148","0.00","0.0","2.0",,"25","14",,"  320",,,"  315","0.2","19.9",,,"23.0","    1","    1",,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-20","   20","   30",,," 2300","0.00","0.0","2.0",,"28","10",,"  230",,,"  225","0.2","17.0",,,"23.0",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-21","   70","  100",,," 2006","0.00","0.1","2.0",,"28","17",,"  220",,,"  225","0.1","19.9",,,"28.9",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-22","   60","   60",,," 1024","0.01","0.3","2.0",,"29","4",,"  330",,,"  315","0.1","36.0",,,"46.1",,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-23","   40","   30",,," 2348","0.01","0.3","2.0",,"11","-5",,"  160",,,"  135","0.1","19.9",,,"24.2",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-24","  100","  100",,," 0224","0.05","0.9","3.0",,"36","10",,"  180",,,"  180","0.4","23.0",,,"34.4","    1",,,,,"    1",,,,,,,,,"    1",,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-25","   50","   70",,," 2006","0.00","0.0","2.0",,"20","-2",,"  320",,,"  315","0.3","21.9",,,"25.3",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-26","   50","   80",,," 0536","0.00","0.0","2.0",,"-1","-11",,"  320",,,"  315","0.3","17.9",,,"25.3",,,,,,,,,,,,,,,,,,,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-27","   60","   30",,," 0148","0.00","0.0","2.0",,"6","-9",,"  320",,,"  315","0.3","21.0",,,"26.4",,,,,,,,,,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-28","   70","   80",,," 1436","0.00","0.2","2.0",,"6","-8",,"  310",,,"  315","0.3","17.9",,,"24.2",,,,,,,,"    1",,,,,,,,,"    1",,,,
"USW00014925","ROCHESTER INTERNATIONAL AIRPORT, MN US","1980-01-29","   30","    0",,," 1030","0.00","0.0","2.0",,"3","-12",,"  310",,,"  315","0.3","15.0",,,"18.3",,,,,,,,,,,,,,,,,,,,,
